time (s),input (us),force (lb)
0.000,1650,4.70
0.002,1850,4.63
0.004,1850,5.10
0.006,1850,5.24
0.008,1850,4.92
0.010,1850,5.24
0.012,1850,5.52
0.014,1850,6.02
0.016,1850,7.20
0.018,1850,8.92
0.020,1850,10.27
0.022,1850,11.09
0.024,1850,10.74
0.026,1850,10.38
0.028,1850,9.66
0.030,1850,8.38
0.032,1850,8.34
0.034,1850,8.52
0.036,1850,8.02
0.038,1850,7.17
0.040,1850,7.77
0.042,1850,7.88
0.044,1850,6.88
0.046,1850,8.09
0.048,1850,8.84
0.050,1850,8.13
0.052,1850,9.31
0.054,1850,10.24
0.056,1850,9.74
0.058,1850,8.24
0.060,1850,9.09
0.062,1850,9.56
0.064,1850,7.17
0.066,1850,8.34
0.068,1850,9.06
0.070,1850,7.95
0.072,1850,8.63
0.074,1850,9.41
0.076,1850,8.81
0.078,1850,7.70
0.080,1850,9.16
0.082,1850,8.63
0.084,1850,7.42
0.086,1850,8.88
0.088,1850,9.13
0.090,1850,8.45
0.092,1850,8.95
0.094,1850,9.16
0.096,1850,8.77
0.098,1850,7.81
0.100,1850,9.34
0.102,1850,8.81
0.104,1850,7.63
0.106,1850,9.59
0.108,1850,9.16
0.110,1850,8.20
0.112,1850,8.74
0.114,1850,9.77
0.116,1850,8.63
0.118,1850,8.24
0.120,1850,9.84
0.122,1850,7.88
0.124,1850,8.13
0.126,1850,9.27
0.128,1850,8.52
0.130,1850,8.06
0.132,1850,8.81
0.134,1850,9.49
0.136,1850,7.95
0.138,1850,7.99
0.140,1850,10.02
0.142,1850,8.17
0.144,1850,8.67
0.146,1850,10.16
0.148,1850,8.99
0.150,1850,8.52
0.152,1850,9.16
0.154,1850,9.16
0.156,1850,7.49
0.158,1850,7.77
0.160,1850,8.92
0.162,1850,6.85
0.164,1850,7.74
0.166,1850,9.59
0.168,1850,8.84
0.170,1850,8.99
0.172,1850,10.20
0.174,1850,9.84
0.176,1850,8.09
0.178,1850,9.63
0.180,1850,9.81
0.182,1850,7.52
0.184,1850,9.09
0.186,1850,9.41
0.188,1850,7.67
0.190,1850,7.84
0.192,1850,8.45
0.194,1850,8.06
0.196,1850,6.95
0.198,1850,8.88
0.200,1850,8.67
0.202,1850,7.56
0.204,1850,10.27
0.206,1850,10.16
0.208,1850,9.45
0.210,1850,9.77
0.212,1850,9.70
0.214,1850,8.70
0.216,1850,7.34
0.218,1850,8.88
0.220,1850,7.52
0.222,1850,7.24
0.224,1850,9.49
0.226,1850,8.38
0.228,1850,7.74
0.230,1850,8.92
0.232,1850,9.59
0.234,1850,8.17
0.236,1850,8.56
0.238,1850,10.41
0.240,1850,8.34
0.242,1850,8.42
0.244,1850,10.16
0.246,1850,8.74
0.248,1850,8.24
0.250,1850,9.13
0.252,1850,9.24
0.254,1850,7.67
0.256,1850,7.31
0.258,1850,9.20
0.260,1850,6.88
0.262,1850,7.77
0.264,1850,9.49
0.266,1850,8.74
0.268,1850,9.45
0.270,1850,10.24
0.272,1850,9.74
0.274,1850,8.02
0.276,1850,8.84
0.278,1850,9.16
0.280,1850,7.49
0.282,1850,9.27
0.284,1850,9.52
0.286,1850,8.06
0.288,1850,8.56
0.290,1850,9.31
0.292,1850,8.63
0.294,1850,7.59
0.296,1850,9.70
0.298,1850,8.77
0.300,1850,6.81
0.302,1850,8.70
0.304,1850,9.34
0.306,1850,8.52
0.308,1850,9.13
0.310,1850,9.88
0.312,1850,8.56
0.314,1850,7.49
0.316,1850,9.52
0.318,1850,8.24
0.320,1850,7.27
0.322,1850,9.70
0.324,1850,9.16
0.326,1850,8.02
0.328,1850,9.02
0.330,1850,9.24
0.332,1850,8.06
0.334,1850,7.95
0.336,1850,9.77
0.338,1850,7.49
0.340,1850,7.92
0.342,1850,9.66
0.344,1850,7.99
