time (s),input (us),force (lb)
0.000,1600,5.17
0.002,1900,5.03
0.004,1900,4.28
0.006,1900,4.85
0.008,1900,4.96
0.010,1900,4.89
0.012,1900,5.17
0.014,1900,6.42
0.016,1900,7.92
0.018,1900,10.24
0.020,1900,12.63
0.022,1900,14.03
0.024,1900,13.74
0.026,1900,13.13
0.028,1900,11.53
0.030,1900,9.49
0.032,1900,8.89
0.034,1900,10.39
0.036,1900,9.10
0.038,1900,8.24
0.040,1900,9.10
0.042,1900,7.00
0.044,1900,7.46
0.046,1900,10.46
0.048,1900,10.67
0.050,1900,11.10
0.052,1900,12.60
0.054,1900,11.03
0.056,1900,8.64
0.058,1900,10.85
0.060,1900,10.39
0.062,1900,8.92
0.064,1900,11.92
0.066,1900,10.78
0.068,1900,9.42
0.070,1900,10.92
0.072,1900,10.71
0.074,1900,8.39
0.076,1900,10.56
0.078,1900,10.60
0.080,1900,8.60
0.082,1900,10.92
0.084,1900,11.17
0.086,1900,9.10
0.088,1900,11.49
0.090,1900,11.53
0.092,1900,8.46
0.094,1900,9.56
0.096,1900,10.24
0.098,1900,7.85
0.100,1900,10.67
0.102,1900,11.53
0.104,1900,9.78
0.106,1900,10.99
0.108,1900,11.60
0.110,1900,9.03
0.112,1900,10.49
0.114,1900,11.10
0.116,1900,8.74
0.118,1900,10.67
0.120,1900,11.24
0.122,1900,8.89
0.124,1900,9.71
0.126,1900,10.85
0.128,1900,8.21
0.130,1900,9.42
0.132,1900,10.64
0.134,1900,7.99
0.136,1900,9.99
0.138,1900,11.49
0.140,1900,9.35
0.142,1900,10.85
0.144,1900,12.71
0.146,1900,9.85
0.148,1900,10.17
0.150,1900,11.81
0.152,1900,8.53
0.154,1900,9.17
0.156,1900,11.10
0.158,1900,8.85
0.160,1900,8.85
0.162,1900,10.64
0.164,1900,7.99
0.166,1900,8.42
0.168,1900,11.13
0.170,1900,9.21
0.172,1900,10.64
0.174,1900,12.88
0.176,1900,10.89
0.178,1900,10.78
0.180,1900,12.24
0.182,1900,9.53
0.184,1900,8.71
0.186,1900,10.92
0.188,1900,8.10
0.190,1900,7.82
0.192,1900,10.35
0.194,1900,8.82
0.196,1900,9.06
0.198,1900,11.92
0.200,1900,10.21
0.202,1900,9.03
0.204,1900,12.06
0.206,1900,10.60
0.208,1900,10.03
0.210,1900,12.88
0.212,1900,10.99
0.214,1900,9.89
0.216,1900,11.63
0.218,1900,9.42
0.220,1900,7.46
0.222,1900,10.31
0.224,1900,8.78
0.226,1900,8.17
0.228,1900,11.31
0.230,1900,10.42
0.232,1900,9.53
0.234,1900,12.13
0.236,1900,11.06
0.238,1900,9.10
0.240,1900,11.74
0.242,1900,10.31
0.244,1900,8.74
0.246,1900,11.60
0.248,1900,10.28
0.250,1900,8.85
0.252,1900,11.21
0.254,1900,10.31
0.256,1900,7.96
0.258,1900,10.67
0.260,1900,10.14
0.262,1900,8.53
0.264,1900,11.31
0.266,1900,11.13
0.268,1900,9.64
0.270,1900,11.63
0.272,1900,11.38
0.274,1900,8.28
0.276,1900,10.35
0.278,1900,10.03
0.280,1900,8.03
0.282,1900,10.85
0.284,1900,11.13
0.286,1900,9.10
0.288,1900,10.99
0.290,1900,11.21
0.292,1900,8.64
0.294,1900,10.31
0.296,1900,10.64
0.298,1900,8.28
0.300,1900,10.89
0.302,1900,11.17
0.304,1900,9.06
0.306,1900,10.99
0.308,1900,11.60
0.310,1900,8.57
0.312,1900,9.99
0.314,1900,10.67
0.316,1900,8.28
0.318,1900,10.53
0.320,1900,11.24
0.322,1900,8.99
0.324,1900,10.46
0.326,1900,11.99
0.328,1900,8.99
0.330,1900,10.03
0.332,1900,11.28
0.334,1900,8.46
0.336,1900,9.89
0.338,1900,11.35
0.340,1900,9.03
0.342,1900,9.81
0.344,1900,11.31
0.346,1900,8.82
0.348,1900,9.42
0.350,1900,10.99
0.352,1900,8.67
0.354,1900,9.99
0.356,1900,11.96
0.358,1900,9.74
0.360,1900,10.24
0.362,1900,11.81
0.364,1900,8.99
0.366,1900,9.10
0.368,1900,11.28
0.370,1900,8.03
0.372,1900,9.10
0.374,1900,11.56
0.376,1900,9.56
0.378,1900,9.89
0.380,1900,11.85
0.382,1900,9.28
0.384,1900,8.67
0.386,1900,11.60
0.388,1900,9.49
0.390,1900,9.67
0.392,1900,11.99
