time (s),input (us),force (lb)
0.000,1750,5.12
0.002,1750,5.55
0.004,1750,5.47
0.006,1750,5.47
0.008,1750,5.69
0.010,1750,4.98
0.012,1750,5.30
0.014,1750,4.62
0.016,1750,4.83
0.018,1750,4.90
0.020,1750,4.51
0.022,1750,5.05
0.024,1750,5.22
0.026,1750,5.01
0.028,1750,5.33
0.030,1750,5.22
0.032,1750,5.51
0.034,1750,5.47
0.036,1750,5.19
0.038,1750,4.80
0.040,1750,4.90
0.042,1750,4.87
0.044,1750,5.12
0.046,1750,4.58
0.048,1750,4.98
0.050,1750,5.08
0.052,1750,4.94
0.054,1750,4.69
0.056,1750,5.51
0.058,1750,5.40
0.060,1750,4.90
0.062,1750,5.15
0.064,1750,5.22
0.066,1750,4.87
0.068,1750,4.87
0.070,1750,4.94
0.072,1750,5.15
0.074,1750,5.33
0.076,1750,4.94
0.078,1750,5.12
0.080,1751,5.30
0.082,1751,5.40
0.084,1751,5.44
0.086,1751,5.30
0.088,1751,5.33
0.090,1751,5.08
0.092,1751,5.30
0.094,1751,4.87
0.096,1751,4.98
0.098,1751,5.26
0.100,1751,5.05
0.102,1751,5.26
0.104,1751,5.37
0.106,1751,5.83
0.108,1751,5.37
0.110,1751,4.87
0.112,1751,4.76
0.114,1752,4.98
0.116,1752,5.05
0.118,1752,5.26
0.120,1752,4.98
0.122,1752,4.48
0.124,1752,5.01
0.126,1752,4.87
0.128,1752,5.15
0.130,1752,5.55
0.132,1752,5.65
0.134,1752,5.69
0.136,1752,5.01
0.138,1752,5.01
0.140,1753,5.12
0.142,1753,4.58
0.144,1753,4.98
0.146,1753,4.90
0.148,1753,4.80
0.150,1753,5.44
0.152,1753,5.55
0.154,1753,5.30
0.156,1753,5.33
0.158,1753,5.40
0.160,1754,5.30
0.162,1754,5.01
0.164,1754,5.12
0.166,1754,5.12
0.168,1754,4.94
0.170,1754,4.90
0.172,1754,4.87
0.174,1754,4.94
0.176,1754,5.22
0.178,1754,5.12
0.180,1755,5.69
0.182,1755,5.72
0.184,1755,5.62
0.186,1755,5.40
0.188,1755,5.12
0.190,1755,5.51
0.192,1755,4.98
0.194,1755,5.51
0.196,1756,5.05
0.198,1756,4.55
0.200,1756,5.12
0.202,1756,5.51
0.204,1756,5.55
0.206,1756,5.22
0.208,1756,5.08
0.210,1756,5.19
0.212,1757,5.01
0.214,1757,5.22
0.216,1757,5.30
0.218,1757,5.01
0.220,1757,4.90
0.222,1757,4.94
0.224,1757,4.87
0.226,1758,5.55
0.228,1758,5.05
0.230,1758,5.51
0.232,1758,5.90
0.234,1758,5.33
0.236,1758,5.26
0.238,1758,5.58
0.240,1759,5.83
0.242,1759,5.08
0.244,1759,5.19
0.246,1759,5.01
0.248,1759,5.08
0.250,1759,5.26
0.252,1759,5.33
0.254,1760,5.40
0.256,1760,5.58
0.258,1760,5.51
0.260,1760,5.30
0.262,1760,5.26
0.264,1760,5.51
0.266,1761,5.15
0.268,1761,5.26
0.270,1761,5.08
0.272,1761,4.80
0.274,1761,4.90
0.276,1761,5.58
0.278,1762,5.30
0.280,1762,5.72
0.282,1762,6.05
0.284,1762,5.40
0.286,1762,5.08
0.288,1763,5.37
0.290,1763,5.40
0.292,1763,5.22
0.294,1763,5.51
0.296,1763,5.76
0.298,1763,5.19
0.300,1764,5.15
0.302,1764,4.94
0.304,1764,5.44
0.306,1764,5.94
0.308,1764,6.12
0.310,1765,5.83
0.312,1765,5.62
0.314,1765,5.83
0.316,1765,4.98
0.318,1765,5.12
0.320,1766,5.51
0.322,1766,5.22
0.324,1766,5.30
0.326,1766,5.40
0.328,1766,5.58
0.330,1767,5.62
0.332,1767,6.05
0.334,1767,5.69
0.336,1767,5.58
0.338,1767,6.62
0.340,1768,5.62
0.342,1768,5.37
0.344,1768,5.37
0.346,1768,5.37
0.348,1768,5.37
0.350,1769,5.47
0.352,1769,5.58
0.354,1769,5.62
0.356,1769,5.90
0.358,1770,5.76
0.360,1770,5.72
0.362,1770,6.12
0.364,1770,5.83
0.366,1770,5.69
0.368,1771,5.90
0.370,1771,5.72
0.372,1771,5.44
0.374,1771,5.65
0.376,1772,5.40
0.378,1772,5.87
0.380,1772,5.97
0.382,1772,5.62
0.384,1773,5.51
0.386,1773,6.26
0.388,1773,6.37
0.390,1773,5.26
0.392,1774,5.55
0.394,1774,5.94
0.396,1774,5.69
0.398,1774,6.05
0.400,1775,5.87
0.402,1775,5.87
0.404,1775,5.87
0.406,1775,5.69
0.408,1776,5.33
0.410,1776,6.22
0.412,1776,6.12
0.414,1776,5.62
0.416,1777,5.80
0.418,1777,5.83
0.420,1777,5.69
0.422,1777,5.90
0.424,1778,5.65
0.426,1778,5.80
0.428,1778,6.47
0.430,1778,6.15
0.432,1779,6.08
0.434,1779,6.40
0.436,1779,6.01
0.438,1779,5.55
0.440,1780,6.08
0.442,1780,6.12
0.444,1780,6.01
0.446,1781,6.33
0.448,1781,6.08
0.450,1781,6.05
0.452,1781,6.01
0.454,1782,5.90
0.456,1782,5.83
0.458,1782,6.55
0.460,1782,6.08
0.462,1783,5.76
0.464,1783,5.72
0.466,1783,6.12
0.468,1784,5.94
0.470,1784,6.26
0.472,1784,5.65
0.474,1784,6.12
0.476,1785,6.12
0.478,1785,5.94
0.480,1785,5.97
0.482,1786,6.15
0.484,1786,6.08
0.486,1786,6.15
0.488,1787,6.05
0.490,1787,5.87
0.492,1787,6.19
0.494,1787,6.22
0.496,1788,6.40
0.498,1788,6.65
0.500,1788,6.19
0.502,1789,6.22
0.504,1789,6.30
0.506,1789,5.83
0.508,1790,5.94
0.510,1790,6.05
0.512,1790,6.22
0.514,1790,6.19
0.516,1791,6.37
0.518,1791,6.26
0.520,1791,6.26
0.522,1792,6.51
0.524,1792,6.47
0.526,1792,6.15
0.528,1793,6.58
0.530,1793,6.15
0.532,1793,6.22
0.534,1794,6.22
0.536,1794,6.12
0.538,1794,6.72
0.540,1795,6.90
0.542,1795,6.87
0.544,1795,6.33
0.546,1796,6.51
0.548,1796,6.47
0.550,1796,6.15
0.552,1797,6.37
0.554,1797,6.30
0.556,1797,6.30
0.558,1798,6.37
0.560,1798,6.44
0.562,1798,6.65
0.564,1799,6.55
0.566,1799,6.62
0.568,1799,6.51
0.570,1800,6.47
0.572,1800,6.65
0.574,1800,6.90
0.576,1801,6.69
0.578,1801,6.22
0.580,1801,6.47
0.582,1802,6.37
0.584,1802,6.37
0.586,1802,6.69
0.588,1803,6.72
0.590,1803,6.76
0.592,1803,6.76
0.594,1804,7.04
0.596,1804,6.69
0.598,1804,6.22
0.600,1805,7.15
0.602,1805,6.76
0.604,1805,6.90
0.606,1806,6.90
0.608,1806,7.22
0.610,1806,7.01
0.612,1807,6.90
0.614,1807,6.40
0.616,1808,6.72
0.618,1808,7.26
0.620,1808,6.72
0.622,1809,7.47
0.624,1809,7.15
0.626,1809,6.76
0.628,1810,7.01
0.630,1810,7.01
0.632,1810,7.44
0.634,1811,7.29
0.636,1811,6.80
0.638,1812,7.12
0.640,1812,7.01
0.642,1812,6.62
0.644,1813,6.97
0.646,1813,7.08
0.648,1813,6.94
0.650,1814,7.58
0.652,1814,7.76
0.654,1814,7.40
0.656,1815,6.97
0.658,1815,6.55
0.660,1816,7.19
0.662,1816,6.90
0.664,1816,7.08
0.666,1817,7.08
0.668,1817,7.29
0.670,1817,7.12
0.672,1818,6.90
0.674,1818,7.44
0.676,1819,7.87
0.678,1819,7.08
0.680,1819,6.87
0.682,1820,7.90
0.684,1820,6.90
0.686,1820,7.04
0.688,1821,7.87
0.690,1821,7.62
0.692,1822,7.04
0.694,1822,7.94
0.696,1822,7.62
0.698,1823,7.79
0.700,1823,7.12
0.702,1824,8.04
0.704,1824,7.83
0.706,1824,6.94
0.708,1825,7.76
0.710,1825,8.08
0.712,1825,7.54
0.714,1826,7.65
0.716,1826,7.87
0.718,1827,7.76
0.720,1827,7.22
0.722,1827,7.04
0.724,1828,8.51
0.726,1828,7.08
0.728,1829,7.22
0.730,1829,7.94
0.732,1829,7.94
0.734,1830,7.33
0.736,1830,7.94
0.738,1830,8.29
