time (s),input (us),force (lb)
0.000,1750,5.23
0.002,1750,5.87
0.004,1750,4.84
0.006,1750,5.30
0.008,1750,4.45
0.010,1750,4.73
0.012,1750,4.84
0.014,1750,5.09
0.016,1750,5.02
0.018,1750,4.91
0.020,1750,5.20
0.022,1750,4.98
0.024,1750,5.37
0.026,1751,5.48
0.028,1751,5.55
0.030,1751,4.80
0.032,1751,4.91
0.034,1751,4.63
0.036,1752,5.05
0.038,1752,5.02
0.040,1752,4.84
0.042,1752,5.20
0.044,1753,5.20
0.046,1753,4.70
0.048,1753,5.16
0.050,1753,5.55
0.052,1754,5.41
0.054,1754,5.52
0.056,1754,5.37
0.058,1755,5.30
0.060,1755,4.63
0.062,1756,4.77
0.064,1756,5.09
0.066,1756,4.77
0.068,1757,5.27
0.070,1757,5.55
0.072,1758,4.80
0.074,1758,5.62
0.076,1759,5.41
0.078,1759,5.37
0.080,1760,5.52
0.082,1760,5.55
0.084,1761,5.34
0.086,1761,4.80
0.088,1762,4.95
0.090,1762,4.98
0.092,1763,4.80
0.094,1763,5.30
0.096,1764,5.45
0.098,1765,5.77
0.100,1765,5.98
0.102,1766,5.55
0.104,1766,5.62
0.106,1767,5.66
0.108,1768,5.87
0.110,1768,5.09
0.112,1769,5.27
0.114,1770,5.37
0.116,1771,5.37
0.118,1771,5.73
0.120,1772,5.80
0.122,1773,5.34
0.124,1774,5.91
0.126,1774,6.12
0.128,1775,5.80
0.130,1776,5.52
0.132,1777,6.09
0.134,1778,5.87
0.136,1778,5.59
0.138,1779,5.84
0.140,1780,5.62
0.142,1781,5.48
0.144,1782,5.95
0.146,1783,6.09
0.148,1784,6.20
0.150,1785,6.45
0.152,1785,5.95
0.154,1786,5.70
0.156,1787,6.23
0.158,1788,6.30
0.160,1789,5.16
0.162,1790,5.98
0.164,1791,6.48
0.166,1792,5.77
0.168,1793,6.77
0.170,1794,6.55
0.172,1795,6.27
0.174,1796,6.80
0.176,1797,6.23
0.178,1798,6.37
0.180,1799,6.70
0.182,1800,6.12
0.184,1802,5.91
0.186,1803,6.52
0.188,1804,6.59
0.190,1805,6.34
0.192,1806,6.87
0.194,1807,6.84
0.196,1808,6.77
0.198,1809,7.19
0.200,1811,6.41
0.202,1812,6.87
0.204,1813,7.12
0.206,1814,6.55
0.208,1815,6.41
0.210,1816,7.23
0.212,1818,7.09
0.214,1819,6.95
0.216,1820,7.55
0.218,1821,7.62
0.220,1822,7.34
0.222,1824,7.23
0.224,1825,7.69
0.226,1826,7.66
0.228,1827,7.52
0.230,1828,7.19
