time (s),input (us),force (lb)
0.000,1750,5.05
0.002,1750,4.76
0.004,1750,5.01
0.006,1750,4.76
0.008,1750,4.87
0.010,1750,5.12
0.012,1750,5.01
0.014,1750,5.01
0.016,1750,5.19
0.018,1750,5.51
0.020,1750,5.22
0.022,1750,4.69
0.024,1750,5.26
0.026,1750,5.01
0.028,1750,4.94
0.030,1750,4.83
0.032,1750,4.65
0.034,1750,4.62
0.036,1750,4.80
0.038,1750,5.01
0.040,1750,5.40
0.042,1750,5.69
0.044,1750,5.76
0.046,1750,5.30
0.048,1750,5.08
0.050,1750,4.90
0.052,1750,4.90
0.054,1750,5.05
0.056,1750,4.65
0.058,1750,4.48
0.060,1750,4.73
0.062,1750,4.80
0.064,1750,4.98
0.066,1750,5.80
0.068,1750,5.83
0.070,1750,5.44
0.072,1750,5.19
0.074,1750,5.30
0.076,1750,5.30
0.078,1750,4.90
0.080,1750,5.08
0.082,1750,4.69
0.084,1750,4.26
0.086,1750,4.51
0.088,1750,4.65
0.090,1750,5.40
0.092,1750,5.44
0.094,1750,5.51
0.096,1750,5.90
0.098,1750,5.12
0.100,1750,5.30
0.102,1750,4.73
0.104,1750,4.62
0.106,1750,4.73
0.108,1750,4.94
0.110,1750,5.05
0.112,1750,4.90
0.114,1750,4.73
0.116,1750,5.15
0.118,1750,5.47
0.120,1750,5.22
0.122,1750,5.33
0.124,1750,5.33
0.126,1750,5.08
0.128,1750,5.05
0.130,1750,4.94
0.132,1750,4.80
0.134,1750,5.01
0.136,1750,4.90
0.138,1750,4.69
0.140,1751,4.58
0.142,1751,5.01
0.144,1751,5.30
0.146,1751,5.47
0.148,1751,5.44
0.150,1751,5.05
0.152,1751,5.05
0.154,1751,4.37
0.156,1751,4.94
0.158,1751,5.08
0.160,1751,4.83
0.162,1751,5.05
0.164,1751,5.51
0.166,1751,5.58
0.168,1751,5.33
0.170,1751,5.30
0.172,1751,5.55
0.174,1751,4.87
0.176,1751,5.01
0.178,1751,4.83
0.180,1751,4.98
0.182,1751,4.87
0.184,1751,4.62
0.186,1751,5.01
0.188,1751,5.26
0.190,1751,4.76
0.192,1751,5.58
0.194,1751,5.80
0.196,1752,5.76
0.198,1752,5.51
0.200,1752,5.30
0.202,1752,5.05
0.204,1752,4.94
0.206,1752,5.40
0.208,1752,4.55
0.210,1752,4.44
0.212,1752,4.94
0.214,1752,4.80
0.216,1752,4.83
0.218,1752,5.65
0.220,1752,5.40
0.222,1752,5.72
0.224,1752,5.26
0.226,1752,5.51
0.228,1752,4.94
0.230,1752,4.76
0.232,1752,4.98
0.234,1752,4.94
0.236,1752,4.65
0.238,1752,4.80
0.240,1753,5.15
0.242,1753,5.80
0.244,1753,5.37
0.246,1753,5.37
0.248,1753,5.58
0.250,1753,5.12
0.252,1753,5.15
0.254,1753,5.05
0.256,1753,4.62
0.258,1753,4.69
0.260,1753,4.73
0.262,1753,4.87
0.264,1753,5.15
0.266,1753,5.12
0.268,1753,5.30
0.270,1753,5.69
0.272,1753,5.72
0.274,1753,5.37
0.276,1753,5.15
0.278,1754,5.05
0.280,1754,4.87
0.282,1754,5.19
0.284,1754,4.90
0.286,1754,4.62
0.288,1754,4.76
0.290,1754,5.44
0.292,1754,5.12
0.294,1754,5.33
0.296,1754,5.33
0.298,1754,5.69
0.300,1754,5.05
0.302,1754,5.22
0.304,1754,5.19
0.306,1754,4.98
0.308,1754,4.90
0.310,1755,4.73
0.312,1755,4.65
0.314,1755,4.98
0.316,1755,4.76
0.318,1755,5.33
0.320,1755,5.65
0.322,1755,5.44
0.324,1755,5.40
0.326,1755,5.44
0.328,1755,5.40
0.330,1755,4.83
0.332,1755,4.65
0.334,1755,4.80
0.336,1755,4.69
0.338,1755,5.26
0.340,1756,5.65
0.342,1756,5.58
0.344,1756,5.58
0.346,1756,5.69
0.348,1756,5.37
0.350,1756,4.94
0.352,1756,5.33
0.354,1756,5.15
0.356,1756,5.01
0.358,1756,5.30
0.360,1756,5.22
0.362,1756,4.83
0.364,1756,5.26
0.366,1756,5.01
0.368,1757,5.44
0.370,1757,5.40
0.372,1757,5.33
0.374,1757,5.55
0.376,1757,5.22
0.378,1757,5.51
0.380,1757,5.01
0.382,1757,4.76
0.384,1757,4.94
0.386,1757,4.98
0.388,1757,4.98
0.390,1757,5.12
0.392,1758,5.15
0.394,1758,5.90
0.396,1758,5.72
0.398,1758,5.55
0.400,1758,5.58
0.402,1758,5.15
0.404,1758,5.19
0.406,1758,4.94
0.408,1758,5.26
0.410,1758,5.19
0.412,1758,4.83
0.414,1758,5.65
0.416,1759,5.40
0.418,1759,5.15
0.420,1759,5.30
0.422,1759,5.51
0.424,1759,5.87
0.426,1759,5.62
0.428,1759,5.55
0.430,1759,5.22
0.432,1759,5.12
0.434,1759,4.98
0.436,1759,4.94
0.438,1759,5.15
0.440,1760,5.33
0.442,1760,5.08
0.444,1760,5.44
0.446,1760,5.55
0.448,1760,5.76
0.450,1760,5.33
0.452,1760,5.90
0.454,1760,5.37
0.456,1760,5.15
0.458,1760,5.40
0.460,1760,5.19
0.462,1761,5.37
0.464,1761,5.44
0.466,1761,5.01
0.468,1761,5.26
0.470,1761,5.44
0.472,1761,5.69
0.474,1761,5.83
0.476,1761,5.51
0.478,1761,5.62
0.480,1761,4.76
0.482,1762,4.80
0.484,1762,5.01
0.486,1762,5.19
0.488,1762,5.30
0.490,1762,5.30
0.492,1762,5.51
0.494,1762,5.58
0.496,1762,5.58
0.498,1762,5.97
0.500,1762,6.05
0.502,1763,6.08
0.504,1763,5.22
0.506,1763,5.33
0.508,1763,5.01
0.510,1763,4.83
0.512,1763,5.40
0.514,1763,5.44
0.516,1763,5.47
0.518,1763,5.44
0.520,1763,5.90
0.522,1764,5.62
0.524,1764,5.87
0.526,1764,5.72
0.528,1764,5.65
0.530,1764,5.33
0.532,1764,5.40
0.534,1764,4.94
0.536,1764,5.47
0.538,1764,5.62
0.540,1765,5.47
0.542,1765,5.47
0.544,1765,5.65
0.546,1765,5.55
0.548,1765,5.69
0.550,1765,5.65
0.552,1765,5.62
0.554,1765,4.94
0.556,1765,5.40
0.558,1766,5.51
0.560,1766,5.30
0.562,1766,5.44
0.564,1766,5.15
0.566,1766,5.62
0.568,1766,5.94
0.570,1766,5.87
0.572,1766,5.94
0.574,1766,5.76
0.576,1767,6.26
0.578,1767,5.22
0.580,1767,5.40
0.582,1767,5.30
0.584,1767,5.12
0.586,1767,5.72
0.588,1767,5.55
0.590,1767,5.51
0.592,1767,5.72
0.594,1768,5.83
0.596,1768,6.01
0.598,1768,5.94
0.600,1768,5.87
0.602,1768,5.40
0.604,1768,5.37
0.606,1768,5.37
0.608,1768,5.01
0.610,1768,5.51
0.612,1769,5.37
0.614,1769,5.47
0.616,1769,6.05
0.618,1769,5.97
0.620,1769,5.83
