time (s),input (us),force (lb)
0.578,1650,4.11
0.580,1650,2.08
0.582,1650,2.40
0.584,1650,2.65
0.586,1650,2.61
0.588,1650,3.08
0.590,1650,3.36
0.592,1650,3.65
0.594,1650,3.22
0.596,1650,3.18
0.598,1650,3.90
0.600,1650,3.22
0.602,1650,2.36
0.604,1650,1.90
0.606,1650,1.90
0.608,1650,2.01
0.610,1650,2.36
0.612,1650,2.90
0.614,1650,1.79
0.616,1650,1.36
0.618,1650,1.54
0.620,1650,1.65
0.622,1650,2.15
0.624,1650,2.43
0.626,1650,3.04
0.628,1650,3.04
0.630,1650,2.86
0.632,1650,2.79
0.634,1650,3.01
0.636,1650,3.22
0.638,1650,3.47
0.640,1650,2.86
0.642,1650,2.61
0.644,1650,2.47
0.646,1650,2.04
0.648,1650,2.18
0.650,1650,2.26
0.652,1650,2.15
0.654,1650,1.68
0.656,1650,1.90
0.658,1650,2.11
0.660,1650,1.83
0.662,1650,1.61
0.664,1650,1.86
0.666,1650,2.36
0.668,1650,3.18
0.670,1650,3.25
0.672,1650,3.83
0.674,1650,4.00
0.676,1650,3.18
0.678,1650,2.93
0.680,1650,2.40
0.682,1650,2.18
0.684,1650,1.90
0.686,1650,1.76
0.688,1650,1.29
0.690,1650,1.65
0.692,1650,1.72
0.694,1650,1.83
0.696,1650,2.01
0.698,1650,2.18
0.700,1650,2.40
0.702,1650,3.08
0.704,1650,3.29
0.706,1650,3.54
0.708,1650,3.61
0.710,1650,3.22
0.712,1650,2.58
0.714,1650,2.15
0.716,1650,1.86
0.718,1650,2.04
0.720,1650,2.29
0.722,1650,1.86
0.724,1650,1.83
0.726,1650,1.79
0.728,1650,2.26
0.730,1650,2.51
0.732,1650,2.72
0.734,1650,2.90
0.736,1650,2.90
0.738,1650,2.90
0.740,1650,2.65
0.742,1650,2.61
0.744,1650,2.93
0.746,1650,2.79
0.748,1650,2.22
0.750,1650,2.11
0.752,1650,1.79
0.754,1650,1.86
0.756,1650,2.18
0.758,1650,2.18
0.760,1650,2.58
0.762,1650,2.61
