time (s),input (us),force (lb)
0.000,1600,4.88
0.002,1900,5.12
0.004,1900,5.52
0.006,1900,5.12
0.008,1900,5.52
0.010,1900,5.84
0.012,1900,5.84
0.014,1900,6.59
0.016,1900,8.30
0.018,1900,10.59
0.020,1900,11.26
0.022,1900,12.87
0.024,1900,13.55
0.026,1900,12.69
0.028,1900,11.48
0.030,1900,11.44
0.032,1900,10.55
0.034,1900,8.84
0.036,1900,9.91
0.038,1900,9.12
0.040,1900,6.80
0.042,1900,8.41
0.044,1900,9.34
0.046,1900,8.69
0.048,1900,10.16
0.050,1900,11.37
0.052,1900,10.19
0.054,1900,9.91
0.056,1900,11.80
0.058,1900,9.59
0.060,1900,9.87
0.062,1900,12.33
0.064,1900,10.19
0.066,1900,9.73
0.068,1900,10.98
0.070,1900,9.51
0.072,1900,8.41
0.074,1900,11.62
0.076,1900,10.01
0.078,1900,9.23
0.080,1900,12.01
0.082,1900,10.59
0.084,1900,9.41
0.086,1900,11.26
0.088,1900,9.80
0.090,1900,8.62
0.092,1900,10.94
0.094,1900,9.55
0.096,1900,8.69
0.098,1900,11.05
0.100,1900,10.51
0.102,1900,10.26
0.104,1900,12.62
0.106,1900,11.33
0.108,1900,9.05
0.110,1900,11.26
0.112,1900,9.73
0.114,1900,8.87
0.116,1900,11.55
0.118,1900,11.26
0.120,1900,10.16
0.122,1900,11.69
0.124,1900,10.23
0.126,1900,8.37
0.128,1900,10.66
0.130,1900,9.37
0.132,1900,8.34
0.134,1900,11.01
0.136,1900,11.41
0.138,1900,10.16
0.140,1900,12.23
0.142,1900,11.58
0.144,1900,9.34
0.146,1900,11.87
0.148,1900,10.76
0.150,1900,9.23
0.152,1900,11.51
0.154,1900,10.59
0.156,1900,9.05
0.158,1900,10.98
0.160,1900,10.12
0.162,1900,7.69
0.164,1900,10.12
0.166,1900,9.87
0.168,1900,8.37
0.170,1900,11.83
0.172,1900,12.26
0.174,1900,10.51
0.176,1900,12.76
0.178,1900,12.19
0.180,1900,8.98
0.182,1900,11.23
0.184,1900,10.55
0.186,1900,8.05
0.188,1900,10.66
0.190,1900,10.34
0.192,1900,8.34
0.194,1900,10.37
0.196,1900,11.12
0.198,1900,8.34
0.200,1900,10.73
0.202,1900,11.76
0.204,1900,9.16
0.206,1900,11.76
0.208,1900,12.23
0.210,1900,10.26
0.212,1900,11.62
0.214,1900,11.83
0.216,1900,7.91
0.218,1900,9.91
0.220,1900,10.01
0.222,1900,7.77
0.224,1900,10.48
0.226,1900,11.12
0.228,1900,8.98
0.230,1900,11.37
0.232,1900,12.12
0.234,1900,8.91
0.236,1900,10.37
0.238,1900,11.16
0.240,1900,8.48
0.242,1900,11.62
0.244,1900,11.87
0.246,1900,9.48
0.248,1900,10.98
0.250,1900,11.41
0.252,1900,8.05
0.254,1900,9.62
0.256,1900,11.19
0.258,1900,8.05
0.260,1900,10.91
0.262,1900,11.62
0.264,1900,9.23
0.266,1900,10.94
0.268,1900,12.26
0.270,1900,8.91
0.272,1900,10.12
0.274,1900,11.19
0.276,1900,8.19
0.278,1900,10.44
0.280,1900,12.01
0.282,1900,8.87
0.284,1900,10.51
0.286,1900,12.01
0.288,1900,8.19
0.290,1900,9.48
0.292,1900,11.26
0.294,1900,8.55
0.296,1900,10.34
0.298,1900,11.94
0.300,1900,8.98
0.302,1900,10.23
0.304,1900,12.01
0.306,1900,9.09
0.308,1900,10.01
0.310,1900,11.37
0.312,1900,8.30
0.314,1900,10.12
0.316,1900,11.98
0.318,1900,9.12
0.320,1900,10.12
0.322,1900,12.16
0.324,1900,9.09
0.326,1900,9.44
0.328,1900,11.66
0.330,1900,8.62
0.332,1900,10.16
0.334,1900,12.48
0.336,1900,9.23
0.338,1900,9.51
0.340,1900,11.73
0.342,1900,8.59
0.344,1900,8.87
0.346,1900,11.41
0.348,1900,8.62
0.350,1900,9.94
0.352,1900,12.73
0.354,1900,9.73
0.356,1900,9.80
0.358,1900,12.23
0.360,1900,9.44
0.362,1900,9.23
0.364,1900,11.41
0.366,1900,8.37
0.368,1900,9.09
0.370,1900,11.69
0.372,1900,9.44
0.374,1900,9.62
0.376,1900,12.30
0.378,1900,9.73
0.380,1900,9.30
0.382,1900,11.80
0.384,1900,9.16
0.386,1900,9.59
0.388,1900,12.26
0.390,1900,10.16
0.392,1900,9.80
0.394,1900,12.01
0.396,1900,9.51
0.398,1900,8.37
0.400,1900,11.33
0.402,1900,9.02
0.404,1900,8.94
0.406,1900,11.80
0.408,1900,9.87
0.410,1900,9.55
0.412,1900,12.30
0.414,1900,10.34
0.416,1900,9.26
0.418,1900,12.05
0.420,1900,9.41
0.422,1900,8.59
0.424,1900,11.87
0.426,1900,10.16
0.428,1900,9.69
0.430,1900,12.37
0.432,1900,10.23
0.434,1900,8.52
0.436,1900,11.23
0.438,1900,9.69
0.440,1900,8.84
0.442,1900,12.05
0.444,1900,10.91
0.446,1900,10.19
0.448,1900,12.51
0.450,1900,10.66
0.452,1900,8.62
0.454,1900,11.44
0.456,1900,9.62
0.458,1900,8.44
0.460,1900,11.66
0.462,1900,10.69
0.464,1900,9.59
0.466,1900,11.69
0.468,1900,10.84
0.470,1900,8.16
0.472,1900,11.37
0.474,1900,10.26
0.476,1900,8.80
0.478,1900,12.12
0.480,1900,11.33
0.482,1900,9.91
0.484,1900,12.37
0.486,1900,11.08
0.488,1900,8.30
0.490,1900,11.16
0.492,1900,9.91
0.494,1900,7.91
0.496,1900,10.98
0.498,1900,11.01
0.500,1900,9.76
0.502,1900,12.01
0.504,1900,11.55
0.506,1900,8.62
0.508,1900,11.26
0.510,1900,10.41
0.512,1900,8.62
0.514,1900,11.37
0.516,1900,11.37
0.518,1900,9.66
0.520,1900,11.51
0.522,1900,10.98
0.524,1900,8.19
0.526,1900,10.55
0.528,1900,10.69
0.530,1900,8.77
0.532,1900,11.62
0.534,1900,11.48
0.536,1900,9.34
0.538,1900,11.62
0.540,1900,11.83
0.542,1900,8.37
0.544,1900,10.80
0.546,1900,10.80
0.548,1900,8.12
0.550,1900,10.66
0.552,1900,11.16
0.554,1900,8.80
0.556,1900,11.01
0.558,1900,12.08
0.560,1900,8.66
0.562,1900,10.09
0.564,1900,11.16
0.566,1900,8.69
0.568,1900,11.19
0.570,1900,11.91
0.572,1900,9.34
0.574,1900,10.91
0.576,1900,12.19
0.578,1900,8.59
0.580,1900,9.59
0.582,1900,10.98
0.584,1900,8.34
0.586,1900,10.66
0.588,1900,11.62
0.590,1900,9.12
0.592,1900,10.30
0.594,1900,11.87
0.596,1900,8.77
0.598,1900,9.94
0.600,1900,11.55
0.602,1900,8.84
0.604,1900,10.44
0.606,1900,11.98
0.608,1900,8.94
0.610,1900,10.12
0.612,1900,11.87
0.614,1900,9.34
0.616,1900,9.69
0.618,1900,11.33
0.620,1900,8.41
0.622,1900,9.51
0.624,1900,11.83
0.626,1900,9.51
0.628,1900,10.55
0.630,1900,12.62
0.632,1900,9.30
0.634,1900,9.48
0.636,1900,11.37
0.638,1900,8.41
0.640,1900,9.62
0.642,1900,11.91
0.644,1900,9.44
0.646,1900,9.66
0.648,1900,12.05
0.650,1900,9.62
0.652,1900,9.16
0.654,1900,11.69
0.656,1900,8.62
0.658,1900,9.55
0.660,1900,12.44
0.662,1900,9.62
0.664,1900,9.41
0.666,1900,11.91
0.668,1900,9.73
0.670,1900,8.94
0.672,1900,11.51
0.674,1900,9.19
0.676,1900,8.80
0.678,1900,11.94
0.680,1900,9.94
0.682,1900,9.44
0.684,1900,12.19
0.686,1900,10.37
0.688,1900,9.34
0.690,1900,11.62
0.692,1900,8.87
0.694,1900,8.73
0.696,1900,12.30
0.698,1900,10.41
0.700,1900,9.66
0.702,1900,12.37
0.704,1900,10.16
0.706,1900,9.09
0.708,1900,11.51
0.710,1900,9.44
0.712,1900,8.66
0.714,1900,11.80
0.716,1900,10.55
0.718,1900,9.59
0.720,1900,12.26
0.722,1900,10.51
0.724,1900,8.73
0.726,1900,11.62
0.728,1900,9.84
0.730,1900,8.80
0.732,1900,11.91
0.734,1900,10.94
0.736,1900,9.59
0.738,1900,12.08
0.740,1900,10.44
0.742,1900,8.23
0.744,1900,11.48
0.746,1900,9.91
0.748,1900,8.48
0.750,1900,12.08
0.752,1900,11.44
0.754,1900,9.94
0.756,1900,12.62
0.758,1900,11.08
0.760,1900,8.34
0.762,1900,11.44
0.764,1900,10.26
0.766,1900,8.12
0.768,1900,11.58
0.770,1900,10.91
0.772,1900,9.48
0.774,1900,11.23
0.776,1900,10.91
0.778,1900,8.30
0.780,1900,11.58
0.782,1900,10.69
0.784,1900,8.37
0.786,1900,11.58
0.788,1900,11.19
0.790,1900,9.44
0.792,1900,11.73
0.794,1900,11.48
0.796,1900,8.09
0.798,1900,10.48
0.800,1900,10.34
0.802,1900,8.37
0.804,1900,11.41
0.806,1900,11.26
0.808,1900,9.12
0.810,1900,11.66
0.812,1900,11.48
0.814,1900,8.48
0.816,1900,10.62
0.818,1900,11.05
0.820,1900,8.37
0.822,1900,11.12
0.824,1900,11.30
0.826,1900,9.02
0.828,1900,10.84
0.830,1900,12.19
0.832,1900,8.62
0.834,1900,10.01
0.836,1900,11.26
0.838,1900,8.48
0.840,1900,10.66
0.842,1900,11.55
0.844,1900,8.91
0.846,1900,11.08
