timestamp,TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,ErrG,ErrA,Temp,GyHlt,AcHlt
285.58373600,285583736,-0.000751222250983119,0.0003494317061267793,-5.452066034195013e-07,-0.041975703090429306,-0.3580484986305237,-9.877612113952637,0,0,40.34600830078125,1,1
285.62374400,285623744,0.000668221793603152,0.0014450540766119957,0.0006229395512491465,-0.02702319622039795,-0.33377861976623535,-9.835707664489746,0,0,40.34722137451172,1,1
285.66414600,285664146,0.0014556749956682324,0.0007511820876970887,0.0010090029099956155,-0.047240111976861954,-0.34281057119369507,-9.900574684143066,0,0,40.34757995605469,1,1
285.70393500,285703935,-0.0008905269205570221,0.0006165734957903624,-0.000388308078981936,-0.05153782293200493,-0.3419787883758545,-9.88176155090332,0,0,40.34698486328125,1,1
285.74388000,285743880,0.00041555328061804175,0.0007794559933245182,0.000614584656432271,-0.017589278519153595,-0.3283000588417053,-9.857378005981445,0,0,40.34600830078125,1,1
285.78379500,285783795,0.0012616317253559828,0.0012193546863272786,0.00010546878911554813,-0.02633698657155037,-0.3335055708885193,-9.870027542114258,0,0,40.3459358215332,1,1
285.82385300,285823853,4.7030011046445e-05,0.0012158779427409172,0.0012078299187123775,-0.03236249089241028,-0.33751726150512695,-9.886473655700684,0,0,40.34670639038086,1,1
285.86382300,285863823,-0.0009162594797089696,0.0007110211299732327,-3.0368048101081513e-05,-0.02249021828174591,-0.3409327268600464,-9.880550384521484,0,0,40.34785079956055,1,1
285.90389000,285903890,0.00012247147969901562,0.000546078197658062,0.0004771431558765471,-0.045430999249219894,-0.33426618576049805,-9.875707626342773,0,0,40.34808349609375,1,1
285.94376000,285943760,-0.0005399557412602007,0.00039355512126348913,7.572372123831883e-05,-0.02873234450817108,-0.3400631844997406,-9.865673065185547,0,0,40.34772491455078,1,1
285.98387300,285983873,-0.0001884425146272406,0.00010120437946170568,0.0002919668040703982,-0.027625273913145065,-0.3524475693702698,-9.891349792480469,0,0,40.34650421142578,1,1
286.02389500,286023895,-0.0010820935713127255,1.4625325093220454e-05,0.00043945841025561094,-0.04023370146751404,-0.32154569029808044,-9.862776756286621,0,0,40.34521484375,1,1
286.06396100,286063961,-0.0013739893911406398,0.0009271660819649696,0.0008295297157019377,-0.02638307958841324,-0.3338063955307007,-9.864250183105469,0,0,40.34486770629883,1,1
