time (s),input (us),force (lb)
0.000,1750,5.26
0.002,1750,5.58
0.004,1750,4.87
0.006,1750,5.26
0.008,1750,5.05
0.010,1750,5.15
0.012,1750,5.05
0.014,1750,5.05
0.016,1750,4.87
0.018,1750,4.98
0.020,1750,4.98
0.022,1750,4.80
0.024,1750,4.90
0.026,1750,5.44
0.028,1750,5.37
0.030,1750,5.26
0.032,1751,5.47
0.034,1751,5.51
0.036,1751,5.22
0.038,1751,4.98
0.040,1751,5.01
0.042,1751,5.05
0.044,1752,5.15
0.046,1752,5.08
0.048,1752,4.83
0.050,1752,4.69
0.052,1752,5.47
0.054,1753,5.15
0.056,1753,5.30
0.058,1753,5.26
0.060,1753,5.22
0.062,1754,4.98
0.064,1754,5.30
0.066,1754,5.08
0.068,1754,5.08
0.070,1755,4.98
0.072,1755,4.98
0.074,1755,5.08
0.076,1756,5.55
0.078,1756,5.65
0.080,1756,5.12
0.082,1757,5.55
0.084,1757,5.37
0.086,1757,5.44
0.088,1758,5.12
0.090,1758,5.44
0.092,1758,5.37
0.094,1759,4.83
0.096,1759,5.12
0.098,1760,5.15
0.100,1760,5.30
0.102,1760,5.51
0.104,1761,5.65
0.106,1761,5.83
0.108,1762,5.05
0.110,1762,5.37
0.112,1763,5.47
0.114,1763,5.19
0.116,1764,5.08
0.118,1764,5.01
0.120,1765,5.33
0.122,1765,5.62
0.124,1766,4.87
0.126,1766,5.33
0.128,1767,5.83
0.130,1767,5.47
0.132,1768,5.44
0.134,1768,5.83
0.136,1769,6.05
0.138,1769,5.22
0.140,1770,5.37
0.142,1770,5.69
0.144,1771,5.47
0.146,1772,5.69
0.148,1772,5.62
0.150,1773,5.72
0.152,1773,5.94
0.154,1774,5.83
0.156,1775,5.65
0.158,1775,5.76
0.160,1776,6.30
0.162,1777,5.30
0.164,1777,6.12
0.166,1778,5.55
0.168,1779,5.47
0.170,1779,6.30
0.172,1780,5.65
0.174,1781,5.83
0.176,1781,6.58
0.178,1782,6.19
0.180,1783,5.76
0.182,1783,5.87
0.184,1784,6.44
0.186,1785,5.90
0.188,1786,6.01
0.190,1786,6.19
0.192,1787,5.87
0.194,1788,6.12
0.196,1789,5.44
0.198,1789,5.90
0.200,1790,6.33
0.202,1791,6.12
0.204,1792,5.72
0.206,1792,6.51
0.208,1793,6.72
0.210,1794,6.15
0.212,1795,6.19
0.214,1796,6.37
0.216,1796,5.97
0.218,1797,6.15
0.220,1798,6.30
0.222,1799,6.22
0.224,1800,6.80
0.226,1800,5.94
0.228,1801,6.55
0.230,1802,7.37
0.232,1803,6.44
0.234,1804,6.69
0.236,1805,6.55
0.238,1805,6.44
0.240,1806,6.76
0.242,1807,6.65
0.244,1808,6.47
0.246,1809,7.08
0.248,1810,6.97
0.250,1810,7.01
0.252,1811,6.90
0.254,1812,6.76
0.256,1813,6.80
0.258,1814,7.01
0.260,1815,7.04
0.262,1815,7.33
0.264,1816,7.22
0.266,1817,7.19
0.268,1818,7.15
0.270,1819,6.83
0.272,1819,7.44
0.274,1820,7.40
0.276,1821,7.22
0.278,1822,7.51
0.280,1823,7.72
0.282,1823,7.22
0.284,1824,7.01
0.286,1825,7.76
0.288,1826,7.58
0.290,1827,7.12
0.292,1827,6.83
0.294,1828,7.51
0.296,1829,7.26
0.298,1830,7.40
0.300,1830,8.01
0.302,1831,8.08
0.304,1832,7.72
0.306,1833,7.58
0.308,1833,8.12
0.310,1834,7.97
0.312,1835,7.40
0.314,1835,8.01
0.316,1836,8.44
0.318,1837,7.19
0.320,1837,7.51
0.322,1838,8.65
0.324,1839,7.90
0.326,1839,7.72
0.328,1840,8.47
0.330,1840,8.19
0.332,1841,7.76
0.334,1842,7.76
0.336,1842,8.97
0.338,1843,7.29
0.340,1843,7.65
0.342,1844,8.97
0.344,1844,8.65
0.346,1845,8.26
0.348,1845,8.83
0.350,1845,9.01
0.352,1846,8.29
0.354,1846,7.44
0.356,1847,9.44
0.358,1847,7.94
0.360,1847,7.22
0.362,1848,9.04
0.364,1848,8.83
0.366,1848,7.90
0.368,1848,8.69
0.370,1849,9.19
0.372,1849,8.44
0.374,1849,7.90
0.376,1849,9.83
0.378,1849,8.01
0.380,1849,7.54
0.382,1849,9.97
0.384,1849,9.11
0.386,1849,7.97
0.388,1849,8.69
0.390,1849,8.97
0.392,1849,7.97
0.394,1849,7.76
0.396,1849,9.79
0.398,1849,8.04
0.400,1849,7.44
0.402,1849,9.54
0.404,1849,8.22
0.406,1848,7.97
0.408,1848,8.90
0.410,1848,9.36
0.412,1847,7.69
0.414,1847,8.54
0.416,1847,9.58
0.418,1846,7.15
0.420,1846,7.76
0.422,1845,9.79
0.424,1845,8.54
0.426,1844,8.37
0.428,1844,9.47
0.430,1843,8.65
0.432,1842,7.62
0.434,1842,7.87
0.436,1841,9.19
0.438,1840,7.44
0.440,1839,8.69
0.442,1838,9.29
0.444,1838,7.94
0.446,1837,8.37
0.448,1836,9.04
0.450,1835,8.76
0.452,1834,7.51
0.454,1833,8.40
0.456,1832,8.76
0.458,1831,6.69
0.460,1829,8.12
0.462,1828,8.97
0.464,1827,7.90
0.466,1826,8.01
0.468,1824,8.76
0.470,1823,8.51
0.472,1822,7.22
0.474,1820,7.54
0.476,1819,8.58
0.478,1818,6.72
0.480,1816,7.90
0.482,1815,8.62
0.484,1813,7.29
0.486,1811,6.80
0.488,1810,7.65
0.490,1808,7.79
0.492,1807,6.51
0.494,1805,7.19
0.496,1803,7.94
0.498,1801,6.01
0.500,1799,6.83
0.502,1798,7.94
0.504,1796,7.04
0.506,1794,6.97
0.508,1792,7.15
0.510,1790,7.26
0.512,1788,6.65
0.514,1786,5.90
0.516,1784,6.94
0.518,1782,6.47
0.520,1780,6.30
0.522,1778,6.40
0.524,1776,6.94
0.526,1774,6.15
0.528,1772,6.26
0.530,1769,6.65
0.532,1767,6.37
0.534,1765,5.80
0.536,1763,5.90
0.538,1761,5.55
0.540,1758,5.51
0.542,1756,5.05
0.544,1754,5.65
0.546,1751,5.22
0.548,1749,5.37
0.550,1747,5.97
0.552,1745,5.80
0.554,1742,5.40
0.556,1740,5.44
0.558,1738,5.40
0.560,1735,5.08
0.562,1733,4.76
0.564,1731,5.51
0.566,1728,4.55
0.568,1726,4.65
0.570,1724,4.87
0.572,1721,4.80
0.574,1719,4.73
0.576,1717,5.05
0.578,1715,4.58
0.580,1712,4.87
0.582,1710,4.26
0.584,1708,4.23
0.586,1706,4.37
0.588,1703,4.37
0.590,1701,4.08
0.592,1699,4.44
0.594,1697,4.40
0.596,1695,3.51
0.598,1693,3.51
0.600,1691,4.12
0.602,1689,3.58
0.604,1687,3.83
0.606,1685,4.44
0.608,1683,3.90
0.610,1681,3.73
0.612,1679,3.55
0.614,1677,3.19
0.616,1676,3.26
0.618,1674,3.33
0.620,1672,3.48
0.622,1671,3.58
0.624,1669,3.01
0.626,1667,2.80
0.628,1666,3.01
0.630,1665,3.48
0.632,1663,3.26
0.634,1662,2.80
0.636,1661,2.87
0.638,1659,2.51
0.640,1658,3.01
0.642,1657,2.69
0.644,1656,2.91
0.646,1655,2.94
0.648,1654,3.23
0.650,1654,3.08
0.652,1653,2.66
0.654,1652,2.69
0.656,1652,2.33
0.658,1651,2.51
0.660,1651,3.08
0.662,1650,2.58
0.664,1650,2.48
0.666,1650,2.48
0.668,1650,2.55
0.670,1650,2.62
0.672,1650,2.26
0.674,1650,2.55
0.676,1650,2.91
0.678,1650,2.83
0.680,1650,2.37
0.682,1651,2.55
0.684,1651,2.55
0.686,1652,2.62
0.688,1652,2.76
0.690,1653,2.58
0.692,1654,2.41
0.694,1655,2.62
0.696,1656,2.41
0.698,1657,2.69
0.700,1658,2.66
0.702,1659,2.33
0.704,1661,2.58
0.706,1662,2.44
0.708,1664,2.69
0.710,1665,2.48
0.712,1667,2.98
0.714,1668,2.66
0.716,1670,2.51
0.718,1672,2.26
0.720,1674,2.33
0.722,1676,2.73
0.724,1678,3.23
0.726,1680,3.08
0.728,1683,2.94
0.730,1685,2.83
0.732,1687,3.26
0.734,1690,3.12
0.736,1692,3.30
