time (s),input (us),force (lb)
0.000,1750,5.36
0.002,1750,5.18
0.004,1750,5.11
0.006,1750,4.93
0.008,1750,4.93
0.010,1750,4.86
0.012,1750,4.43
0.014,1750,4.86
0.016,1750,5.00
0.018,1750,4.97
0.020,1750,4.97
0.022,1750,5.47
0.024,1750,5.75
0.026,1750,5.15
0.028,1750,5.22
0.030,1750,4.97
0.032,1750,5.11
0.034,1750,4.58
0.036,1750,4.83
0.038,1750,4.54
0.040,1750,4.90
0.042,1750,5.04
0.044,1750,5.22
0.046,1750,5.50
0.048,1750,5.93
0.050,1750,5.47
0.052,1750,5.07
0.054,1750,4.54
0.056,1750,5.07
0.058,1750,4.75
0.060,1750,4.83
0.062,1750,4.75
0.064,1750,4.50
0.066,1750,4.47
0.068,1750,4.86
0.070,1750,5.04
0.072,1750,5.40
0.074,1750,5.32
0.076,1750,5.22
0.078,1750,5.15
0.080,1750,5.57
0.082,1750,5.32
0.084,1750,5.32
0.086,1750,5.25
0.088,1750,4.97
0.090,1750,4.65
0.092,1750,4.93
0.094,1750,5.11
0.096,1750,4.93
0.098,1751,5.22
0.100,1751,5.00
0.102,1751,5.25
0.104,1751,5.32
0.106,1751,5.36
0.108,1751,5.32
0.110,1751,4.93
0.112,1751,5.25
0.114,1751,4.90
0.116,1751,4.86
0.118,1751,4.79
0.120,1751,5.00
0.122,1751,4.86
0.124,1751,4.72
0.126,1751,5.47
0.128,1751,5.29
0.130,1751,5.29
0.132,1751,5.32
0.134,1751,5.00
0.136,1751,5.18
0.138,1751,5.18
0.140,1752,4.86
0.142,1752,4.86
0.144,1752,5.22
0.146,1752,4.93
0.148,1752,4.90
0.150,1752,4.72
0.152,1752,5.36
0.154,1752,5.50
0.156,1752,5.22
0.158,1752,5.07
0.160,1752,5.04
0.162,1752,5.15
0.164,1752,5.00
0.166,1752,4.72
0.168,1752,5.07
0.170,1753,5.40
0.172,1753,5.15
0.174,1753,5.29
0.176,1753,5.40
0.178,1753,5.40
0.180,1753,5.43
0.182,1753,5.75
0.184,1753,5.18
0.186,1753,5.07
0.188,1753,5.18
0.190,1753,4.75
0.192,1753,4.43
0.194,1753,5.00
0.196,1754,5.00
0.198,1754,5.22
0.200,1754,5.68
0.202,1754,5.79
0.204,1754,5.82
0.206,1754,5.04
0.208,1754,5.25
0.210,1754,5.43
0.212,1754,4.90
0.214,1754,5.29
0.216,1754,5.25
0.218,1754,4.83
0.220,1755,5.07
0.222,1755,4.75
0.224,1755,5.29
0.226,1755,5.22
0.228,1755,5.93
0.230,1755,5.57
0.232,1755,5.40
0.234,1755,5.32
0.236,1755,5.11
0.238,1755,5.36
0.240,1756,5.43
0.242,1756,4.97
0.244,1756,4.90
0.246,1756,5.36
0.248,1756,4.75
0.250,1756,4.97
0.252,1756,5.40
0.254,1756,5.40
0.256,1756,5.50
0.258,1756,5.47
0.260,1757,5.32
0.262,1757,5.15
0.264,1757,5.43
0.266,1757,4.93
0.268,1757,4.61
0.270,1757,5.18
0.272,1757,5.36
0.274,1757,5.40
0.276,1757,5.25
0.278,1758,5.57
0.280,1758,5.22
0.282,1758,4.86
0.284,1758,5.04
0.286,1758,5.43
0.288,1758,5.57
0.290,1758,5.32
0.292,1758,5.43
0.294,1759,5.32
0.296,1759,5.36
0.298,1759,4.97
0.300,1759,5.65
0.302,1759,5.82
0.304,1759,5.57
0.306,1759,5.50
0.308,1759,5.15
0.310,1760,5.25
0.312,1760,4.93
0.314,1760,5.11
0.316,1760,5.54
0.318,1760,5.36
0.320,1760,5.47
0.322,1760,5.04
0.324,1760,5.25
0.326,1761,5.43
0.328,1761,5.65
0.330,1761,6.07
0.332,1761,5.72
0.334,1761,5.93
0.336,1761,5.75
0.338,1761,5.18
0.340,1762,4.79
0.342,1762,4.90
0.344,1762,5.43
0.346,1762,5.32
0.348,1762,5.25
0.350,1762,5.93
0.352,1762,6.07
0.354,1763,5.61
0.356,1763,5.75
0.358,1763,5.72
0.360,1763,5.50
0.362,1763,5.40
0.364,1763,5.65
0.366,1763,5.15
0.368,1764,5.07
0.370,1764,5.15
0.372,1764,5.04
0.374,1764,5.65
0.376,1764,5.86
0.378,1764,5.75
0.380,1765,5.72
0.382,1765,5.65
0.384,1765,5.47
0.386,1765,5.11
0.388,1765,5.79
0.390,1765,5.82
